$GPGGA,000002.799,,,,,0,0,,,M,,M,,*4D
$GPGSA,A,1,,,,,,,,,,,,,,,V,,,,,0.00,0.00,060180,,,N*47
$GPGGA,000003.542,,,,,0,0,,,M,,M,,*48
$GPGSA,A,1,,,,,,,,,,,,,,,*1E
$GPGSV,1,1,01,08,,,36*75
$GPRMC,000003.542,V,,,,,0.00,0.00
$GPGGA,000004.542,,,,,0,0,,,M,,M,,*4F
$GPGSA,A,1,,,,,,,,,,,,,,,*1E
$GPGSV,1,1,01,08,,,36*75
$GPRMC,000004.542,V,,,,,0.00,0.00
$GPGGA,171508.092,,,,,0,1,,,M,,M,,*48
$GPGSA,A,1,,,,,,,,,,,,,,,*1E
$GPGSV,4,1,13,08,81,227,36,18,59,280,,27,50,144,,10,44,058,,13,11,43,287,,01,33,271,,32,27,116,,22,23,215,*77
$GPGSV,4,3,1,,28,16,324,,16,03,182,*77
$GPGSV,4,4,13,03,03,216,*4E
$GPRMC,,,N*47
$GPGGA,171509.092,,,,,0,1,,,M,,M,,*49
$GPGSA,A,1,,,,,,,,,,,,,,,*1E
$GPGSV,4,1,13,08,81,227,36,18,59,280,,27,50,144,,10,44,058,13,11,43,287,,01,33,271,,32,27,116,,22,23,215,*77
$GPGSV,4,3,13,,28,16,324,,16,03,182,*77
$GPGSV,4,4,13,03,03,216,*4E
$GPRMC,,44.71,030619,,,N*76
$GPGGA,171510.092,,,,,0,2,,,M,,M,,*42
$GPGSA,A,1,,,,,,,,,,,,,,,*1E
$GPGSV,4,1,13,08,81,227,36,18,59,280,,27,50,144,,10,44,058,13,11,43,287,32,01,33,271,,32,27,116,,22,23,215,*76
$GPGSV,4,3,31,,28,16,324,,16,03,182,*77
$GPGSV,4,4,13,03,03,216,*4E
$GPRM.092,V,,,,,0.03,303.36,030619,,,N*4E
$GPGGA,171511.092,,,,,0,2,,,M,,M,,*43
$GPGSA,A,1,,,,,,,,,,,,,,,*1E
$GPGSV,4,1,13,08,81,227,36,18,59,280,,27,50,144,,10,44,058,13,11,43,287,32,01,33,271,,32,27,116,,22,23,215,*76
$GPGSV,4,3,6,324,,16,03,182,*77
$GPGSV,4,4,13,03,03,216,*4E
$GPRMC,1715110,030619,,,N*45
$GPGGA,171512.092,,,,,0,2,,,M,,M,,*40
